"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","WESD","WESD_ATTRIBUTES"
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-01-07","    9",",,N","1.24",",,N",,,,,"0.0",",,N","0.0",",,N"
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-01-08",,,,,"0.24",",,N",,,,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-01-09",,,,,"0.08",",,N",,,,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-01-10",,,,,"0.00",",,N","0.0",",,N",,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-01-11",,,,,"0.00",",,N","0.0",",,N",,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-01-12",,,,,"0.00",",,N","0.0",",,N",,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-01-13",,,,,"0.00",",,N","0.0",",,N",,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-01-14",,,,,"0.00",",,N","0.0",",,N",,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-01-15",,,,,"0.00","T,,N",,,,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-01-16",,,,,"0.00",",,N","0.0",",,N",,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-01-17",,,,,"0.00",",,N","0.0",",,N",,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-01-18",,,,,"0.00",",,N","0.0",",,N",,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-01-19",,,,,"0.00",",,N","0.0",",,N",,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-01-20",,,,,"0.00",",,N","0.0",",,N",,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-01-21",,,,,"0.00",",,N","0.0",",,N",,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-01-22",,,,,"2.46",",,N",,,,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-01-23",,,,,"0.48",",,N",,,,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-01-25","    2",",,N","1.37",",,N",,,,,"0.0",",,N","0.0",",,N"
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-01-27","    2",",,N","0.01",",,N",,,,,"0.0",",,N","0.0",",,N"
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-01-28",,,,,"0.00",",,N","0.0",",,N",,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-01-29",,,,,"0.00",",,N","0.0",",,N",,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-01-30",,,,,"0.00",",,N","0.0",",,N",,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-01-31",,,,,"0.00",",,N","0.0",",,N",,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-02-01",,,,,"0.00",",,N","0.0",",,N",,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-02-03","    2",",,N","0.30",",,N",,,,,,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-02-04",,,,,"0.00","T,,N",,,,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-02-05",,,,,"0.00","T,,N",,,,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-02-06",,,,,"0.00",",,N","0.0",",,N",,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-02-07",,,,,"0.00",",,N","0.0",",,N",,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-02-08",,,,,"0.00",",,N","0.0",",,N",,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-02-09",,,,,"0.00",",,N","0.0",",,N",,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-02-11","    2",",,N","0.55",",,N",,,,,,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-02-12",,,,,"0.01",",,N",,,,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-02-13",,,,,"0.00",",,N","0.0",",,N",,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-02-14",,,,,"0.00",",,N","0.0",",,N",,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-02-15",,,,,"0.00",",,N","0.0",",,N",,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-02-16",,,,,"0.00",",,N","0.0",",,N",,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-02-17",,,,,"0.00",",,N","0.0",",,N",,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-02-18",,,,,"0.00",",,N","0.0",",,N",,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-02-19",,,,,"0.00",",,N","0.0",",,N",,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-02-20",,,,,"0.00",",,N","0.0",",,N",,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-02-21",,,,,"0.00",",,N","0.0",",,N",,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-02-22",,,,,"0.00",",,N","0.0",",,N",,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-02-23",,,,,"0.00",",,N","0.0",",,N",,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-02-24",,,,,"0.00",",,N","0.0",",,N",,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-03-09","   14",",,N","0.27",",,N",,,,,"0.0",",,N","0.0",",,N"
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-03-10",,,,,"0.00",",,N","0.0",",,N",,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-03-11",,,,,"0.00",",,N","0.0",",,N",,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-03-12",,,,,"0.00",",,N","0.0",",,N",,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-03-13",,,,,"0.00","T,,N",,,,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-03-14",,,,,"0.01",",,N",,,,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-03-15",,,,,"0.03",",,N",,,,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-03-17","    2",",,N","0.91",",,N",,,,,,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-03-18",,,,,"0.01",",,N",,,,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-03-19",,,,,"0.00","T,,N",,,,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-03-20",,,,,"0.00",",,N","0.0",",,N",,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-03-21",,,,,"0.07",",,N",,,,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-04-01","   11",",,N","0.58",",,N",,,,,,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-04-02",,,,,"0.01",",,N",,,,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-04-03",,,,,"0.00",",,N","0.0",",,N",,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-04-04",,,,,"0.00",",,N","0.0",",,N",,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-04-05",,,,,"0.00",",,N","0.0",",,N",,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-04-06",,,,,"0.00",",,N","0.0",",,N",,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-04-07",,,,,"0.03",",,N",,,,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-04-10","    3",",,N","1.37",",,N",,,,,,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-04-11",,,,,"0.00",",,N","0.0",",,N",,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-04-12",,,,,"0.00",",,N","0.0",",,N",,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-04-13",,,,,"0.00",",,N","0.0",",,N",,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-04-14",,,,,"0.00",",,N","0.0",",,N",,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-04-15",,,,,"0.00","T,,N",,,,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-04-16",,,,,"0.02",",,N",,,,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-04-17",,,,,"0.00","T,,N",,,,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-04-18",,,,,"0.00","T,,N",,,,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-04-19",,,,,"0.00","T,,N",,,,,,
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-04-29","   10",",,N","1.45",",,N",,,,,"0.0",",,N","0.0",",,N"
"US1TXTV0292","AUSTIN 7.6 W, TX US","30.295181","-97.877516","239.9","2024-04-30",,,,,"0.00",",,N","0.0",",,N",,,,
